Park_Name,Species_ID,Park_ID
Acadia National Park,1709,1
Arches National Park,1048,2
Badlands National Park,1389,3
Big Bend National Park,2269,4
Biscayne National Park,1726,5
Black Canyon of the Gunnison National Park,1106,6
Bryce Canyon National Park,1286,7
Canyonlands National Park,1223,8
Capitol Reef National Park,1566,9
Carlsbad Caverns National Park,1536,10
Channel Islands National Park,1885,11
Congaree National Park,2321,12
Crater Lake National Park,3760,13
Cuyahoga Valley National Park,1941,14
Death Valley National Park,4439,15
Denali National Park and Preserve,1320,16
Dry Tortugas National Park,848,17
Everglades National Park,2084,18
Gates Of The Arctic National Park and Preserve,1353,19
Glacier Bay National Park and Preserve,1957,20
Glacier National Park,2556,21
Grand Canyon National Park,2622,22
Grand Teton National Park,2030,23
Great Basin National Park,2653,24
Great Sand Dunes National Park and Preserve,952,25
Great Smoky Mountains National Park,6623,26
Guadalupe Mountains National Park,1746,27
Haleakala National Park,2580,28
Hawaii Volcanoes National Park,3298,29
Hot Springs National Park,1950,30
Isle Royale National Park,1397,31
Joshua Tree National Park,2294,32
Katmai National Park and Preserve,1225,33
Kenai Fjords National Park,1057,34
Kobuk Valley National Park,1025,35
Lake Clark National Park and Preserve,2007,36
Lassen Volcanic National Park,1797,37
Mammoth Cave National Park,2499,38
Mesa Verde National Park,1243,39
Mount Rainier National Park,1743,40
North Cascades National Park,3363,41
Olympic National Park,1948,42
Petrified Forest National Park,853,43
Pinnacles National Park,1416,44
Redwood National Park,6310,45
Rocky Mountain National Park,3152,46
Saguaro National Park,1834,47
Sequoia and Kings Canyon National Parks,1995,48
Shenandoah National Park,4655,49
Theodore Roosevelt National Park,1165,50
Voyageurs National Park,1453,51
Wind Cave National Park,1395,52
Wrangell - St Elias National Park and Preserve,1796,53
Yellowstone National Park,3966,54
Yosemite National Park,2088,55
Zion National Park,1796,56